제목,지은이,기대ISBN,기대상태,유형,비고
아몬드,손원평,9791198363510,확정,명확,단일성 높음
시대예보 핵개인의 시대,송길영,9791170610359,확정,명확,
세이노의 가르침,세이노,9791168473690,확정,명확,
파친코 1,이민진,9791168340510,확정,명확,권수 명시
클루지,개리 마커스,9788901272085,확정,명확,
미움받을 용기,기시미 이치로,9791168340770,확정,명확,속편 존재하나 1권 확정 기대
달러구트꿈백화점,,9791165341909,확정,지저분,붙여쓰기+저자없음
세이노 가르침,,9791168473690,확정,지저분,조사 생략
시대예보핵개인의시대,,9791170610359,확정,지저분,콜론·공백 제거
아 몬 드,손원평,9791198363510,확정,지저분,불필요한 공백
데미안,헤르만 헤세,,검토필요,다판본,
어린 왕자,,,검토필요,다판본,
1984,조지 오웰,,검토필요,다판본,
위대한 개츠비,피츠제럴드,,검토필요,다판본,
노인과 바다,헤밍웨이,,검토필요,다판본,
변신,카프카,,검토필요,다판본,
죽음의 수용소에서,빅터 프랭클,,검토필요,다판본,
역행자,자청,,검토필요,다판본,원판 vs 확장판
트렌드 코리아 2024,김난도,,검토필요,오매칭위험,검색 상위에 유사 다른책 → 오확정 안되는지
불편한 편의점,김호연,9791161571188,확정,명확,속편 존재 → 분석 대상
존재하지않는책zzxq판타지12345,,,실패,실패,
物理 모르는 책zzz,,,실패,실패,
